TestCaseNo,phase,Sample,operatingSystem,HOW,isTrimmed,baseRecalibration,Mapper,M_Version,Variant Caller,VC_Version,ReferenceGenom,Duplicates,Variant Filter,FilterPass,SOMATICfilter,remove_indels,Sort,File Link,Result VCF Count,Kim yaptı :),Slurm_id,Donanım,ElapsedTime
TestCase 264,done,NC,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/18ZSxUHgjO-AU8f8o_UUNLbXUK1SBQMxn?usp=sharing,,GÜL EDA,658817,s021,2:34:13
TestCase 265,done,LL,Linux,Local,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1QoPlHVK43EOEQ-oQsQLPDtviPh7dEKJX?usp=sharing,,GAMZE,,,
TestCase 266,done,LL,Linux,Local + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/file/d/18rJXsqsL9uLzBdT59UjNy5LwrVxArWZG/view?usp=sharing,,GAMZE,,,
TestCase 267,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/11uRd6KL-t3GSx-w6QZdYjN--ncDHh1eK?usp=sharing,,GÜL EDA,658697,s032,1:45:03
TestCase 268,done,EA,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1DwsCycjTuq7KMLygsLkkhl31Zjf2beqO?usp=share_link,,GUL EDA,664681,s002,04:21:53
TestCase 269,done,LL,,Altay + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Wy_QlskofvmdYnv7y2JVM4kWKUlt95JN?usp=share_link,,GÜL EDA,29305,a058,01:42:08
TestCase 270,done,NC,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1zBMstGYEMI-sXF2xLMSoJ8nR_9wYiJVa?usp=sharing,,GÜL EDA,658819,s027,3:01:27
TestCase 271,done,LL,Linux,Local,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1vtPEeFDpubdGe95faXXPbSXSmR6bW0-M?usp=sharing,,GAMZE,,,
TestCase 272,done,LL,Linux,Local + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/file/d/1iZj53xSfpXc1sIITtvPnXWHHH0TinfCU/view?usp=sharing,,GAMZE,,,
TestCase 273,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1jm3R_ofH8LwGX4wWgizt8E8JFVJxt5rD?usp=sharing,,GÜL EDA,658697,s032,0:53:28
TestCase 274,done,EA,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1_hCaKBdqxF2VUmL14ToEg997peXG0Mqs?usp=share_link,,GUL EDA,664681,s002,02:32:17
TestCase 275,done,LL,,Altay + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1R8mFa-v0waeQWPXIdd7kTvmpDIFb8Gfe?usp=share_link,,GÜL EDA,29305,a058,00:53:47
TestCase 276,done,NC,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Nho3wHwcmAUKTQHjKrBVNHAWGpNp2_Yv?usp=sharing,,GÜL EDA,658819,s027,1:32:46
TestCase 277,done,LL,Linux,Local,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1up2qLYdfvDPS6A5GmoHi7_PZqyPBNML2?usp=sharing,,GAMZE,,,
TestCase 278,done,LL,Linux,Local + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/file/d/1nlBFBCxSs0W4ZWeaqKFw0WCgdL_4Xw4e/view?usp=sharing,,GAMZE,,,
TestCase 279,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1HbstKHqD_9-g2vBECxWejVUkOtFvA8ye?usp=sharing,,GÜL EDA,658697,s032,0:55:54
TestCase 280,done,EA,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1vg99UX1OIxo1h9eXhZIxApkOc4XyFpOF?usp=share_link,,GUL EDA,664681,s002,02:37:56
TestCase 281,done,LL,,Altay + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1JsC13506tgJ7KjYqb2p6C6912PDANVVD?usp=share_link,,GÜL EDA,29305,a058,00:59:35
TestCase 282,done,NC,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/17OxxiAu3o_n8_AJ2LhWWJiuf7sIy_CBW?usp=sharing,,GÜL EDA,658819,s027,1:35:48
TestCase 283,done,LL,Linux,Local,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/17eSSqexRi3XWCQt6ME-Hz6lizai2OkLW?usp=sharing,,GAMZE,,,
TestCase 284,done,LL,Linux,Local + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/file/d/17oXoucogoV7aAOC8w0yYK5_qF2O6zDrL/view?usp=sharing,,GAMZE,,,
TestCase 285,done,LL,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/15Ppg2mlcQ9HoNLGht--TMbc-FakVYsdv?usp=sharing,,GÜL EDA,658697,s032,1:40:09
TestCase 286,done,EA,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1Z74DQhkBSknjsO9f3uieDiakwaokgqSp?usp=share_link,,GUL EDA,664681,s002,04:18:51
TestCase 287,done,LL,,Altay + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1LnHxIO5zh2K-PMFjrhnYhrTm53pconh0?usp=share_link,,GÜL EDA,29305,a058,01:36:35
TestCase 288,done,NC,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg38,MARK,,,,,,https://drive.google.com/drive/folders/1nFChvbysbN3zdlkFTz2EvRjybx2-coXy?usp=sharing,,GÜL EDA,658819,s027,3:00:33
TestCase 289,notReady,LL,Linux,Local,YES,YES,BWA,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 290,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1UQs3QLOZr0zMkBip2iabnrGF3Fft5uCp?usp=share_link,,GUL EDA,30428,a079,06:07:30
TestCase 291,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 292,notReady,LL,MAC,Local,YES,YES,BWA,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 293,notReady,LL,,Altay + COSAP,YES,YES,BWA,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 294,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 295,notReady,LL,Linux,Local,NO,NO,BWA,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 296,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1isvrWsadzsBiMmBuQxSQjLG8UR5lXBws?usp=share_link,,GUL EDA,30428,a079,06:31:30
TestCase 297,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 298,notReady,LL,MAC,Local,NO,NO,BWA,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 299,notReady,LL,,Altay + COSAP,NO,NO,BWA,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 300,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 301,notReady,LL,Linux,Local,YES,NO,BWA,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 302,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1v1z1dpyui-Hqt7uGC-yYFULAkzoUpJZI?usp=share_link,,GUL EDA,30428,a079,05:47:03
TestCase 303,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 304,notReady,LL,MAC,Local,YES,NO,BWA,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 305,notReady,LL,,Altay + COSAP,YES,NO,BWA,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 306,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 307,notReady,LL,Linux,Local,NO,YES,BWA,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 308,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1m-B8ISpfzdTGMDtFWaV6sbAwqcWu4EIb?usp=share_link,,GUL EDA,30428,a079,08:12:58
TestCase 309,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 310,notReady,LL,MAC,Local,NO,YES,BWA,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 311,notReady,LL,,Altay + COSAP,NO,YES,BWA,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 312,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 313,notReady,LL,Linux,Local,YES,YES,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 314,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1_ARO8B8cyyJu6OveY-n2ipwhgzRXDTuE?usp=share_link,,GUL EDA,30431,a061,07:55:59
TestCase 315,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 316,notReady,LL,MAC,Local,YES,YES,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 317,notReady,LL,,Altay + COSAP,YES,YES,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 318,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 319,notReady,LL,Linux,Local,NO,NO,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 320,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1wd8bTl9SZvP0LclVvbFNAlppW3LQ_AZ2?usp=share_link,,GUL EDA,30431,a061,10:10:03
TestCase 321,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 322,notReady,LL,MAC,Local,NO,NO,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 323,notReady,LL,,Altay + COSAP,NO,NO,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 324,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 325,notReady,LL,Linux,Local,YES,NO,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 326,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1fwNg1uoaiMnlFGr8h7qALF1g5teItSJO?usp=share_link,,GUL EDA,30431,a061,06:10:35
TestCase 327,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 328,notReady,LL,MAC,Local,YES,NO,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 329,notReady,LL,,Altay + COSAP,YES,NO,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 330,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 331,notReady,LL,Linux,Local,NO,YES,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 332,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1iAXkQZjagu03OuZj2A8iGoF-g9wnMwWV?usp=share_link,,GUL EDA,30431,a061,10:55:33
TestCase 333,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 334,notReady,LL,MAC,Local,NO,YES,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 335,notReady,LL,,Altay + COSAP,NO,YES,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 336,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 337,notReady,LL,Linux,Local,YES,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 338,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/144AkcBrJ0WNL2gEqFbCTnT6paoIS_WjF?usp=share_link,,GUL EDA,31577,a046,03:58:20
TestCase 339,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 340,notReady,LL,MAC,Local,YES,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 341,notReady,LL,,Altay + COSAP,YES,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 342,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 343,notReady,LL,Linux,Local,NO,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 344,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1XUUalQ1imlPWtYiOhxp1xUNSvg9DtBzh?usp=share_link,,GUL EDA,30429,a048,01:49:01
TestCase 345,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 346,notReady,LL,MAC,Local,NO,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 347,notReady,LL,,Altay + COSAP,NO,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 348,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 349,notReady,LL,Linux,Local,YES,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 350,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1N6F7_XmZ9pJLwy8NCx0k1scLxbjyhJf8?usp=share_link,,GUL EDA,30429,a048,02:03:24
TestCase 351,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 352,notReady,LL,MAC,Local,YES,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 353,notReady,LL,,Altay + COSAP,YES,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 354,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 355,notReady,LL,Linux,Local,NO,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 356,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1KbY7KdipQZI4M0eq1ecKanY9jXfdsFUB?usp=share_link,,GUL EDA,30429,a048,03:34:30
TestCase 357,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 358,notReady,LL,MAC,Local,NO,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 359,notReady,LL,,Altay + COSAP,NO,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 360,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 361,notReady,LL,Linux,Local,YES,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 362,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1h4ZQPf5xJI0Sj8rv3WA-YHOniw8gobdD?usp=share_link,,GUL EDA,30432,a062,04:30:56
TestCase 363,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 364,notReady,LL,MAC,Local,YES,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 365,notReady,LL,,Altay + COSAP,YES,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 366,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 367,notReady,LL,Linux,Local,NO,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 368,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/12hPkcC6UAQ8KBo2Wat9lZi3u4NAothwZ?usp=share_link,,GUL EDA,30432,a062,02:15:48
TestCase 369,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 370,notReady,LL,MAC,Local,NO,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 371,notReady,LL,,Altay + COSAP,NO,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 372,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 373,notReady,LL,Linux,Local,YES,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 374,done,EA,Linux,Altay + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1r3Y_6xUFFkisO6s-c4bQABd8fKpelK-P?usp=share_link,,GUL EDA,30432,a062,02:37:28
TestCase 375,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 376,notReady,LL,MAC,Local,YES,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 377,notReady,LL,,Altay + COSAP,YES,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 378,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 379,notReady,LL,Linux,Local,NO,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 380,done,EA,Linux,Altay + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1BiwLDYzzI8C8XHx2arfqpvw1L0x98TiL?usp=share_link,,GUL EDA,30432,a062,04:15:32
TestCase 381,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 382,notReady,LL,MAC,Local,NO,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 383,notReady,LL,,Altay + COSAP,NO,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 384,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 385,notReady,LL,Linux,Local,YES,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 386,done,EA,Linux,Altay + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1sdkahl2DEdeZOE3_Y15ywZZDDJWuk5JA?usp=share_link,,GUL EDA,30430,a049,04:19:05
TestCase 387,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 388,notReady,LL,MAC,Local,YES,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 389,notReady,LL,,Altay + COSAP,YES,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 390,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 391,notReady,LL,Linux,Local,NO,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 392,done,EA,Linux,Altay + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1CpZX7aYlUbuF85U3p_bvIeLYBtDw7aQu?usp=share_link,,GUL EDA,30430,a049,02:10:21
TestCase 393,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 394,notReady,LL,MAC,Local,NO,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 395,notReady,LL,,Altay + COSAP,NO,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 396,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 397,notReady,LL,Linux,Local,YES,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 398,done,EA,Linux,Altay + COSAP,YES,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1IeAqlL6nqdjS5GMO2MSnMYQ_cATXROju?usp=share_link,,GUL EDA,30430,a049,02:29:23
TestCase 399,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 400,notReady,LL,MAC,Local,YES,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 401,notReady,LL,,Altay + COSAP,YES,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 402,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 403,notReady,LL,Linux,Local,NO,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 404,done,EA,Linux,Altay + COSAP,NO,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/15xyZh-NHe0bQR_xeXXuBXxzc_bXDVgXY?usp=share_link,,GUL EDA,30430,a049,04:06:32
TestCase 405,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 406,notReady,LL,MAC,Local,NO,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 407,notReady,LL,,Altay + COSAP,NO,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 408,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 409,notReady,LL,Linux,Local,YES,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 410,done,EA,Linux,Altay + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1E6ALLZeZlHHS5os7vi4XyNUFFcnH0wAu?usp=share_link,,GUL EDA,30433,a064,04:57:47
TestCase 411,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 412,notReady,LL,MAC,Local,YES,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 413,notReady,LL,,Altay + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 414,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 415,notReady,LL,Linux,Local,NO,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 416,done,EA,Linux,Altay + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1fL_yso2WUgkqHC6IhBcCmjeUocM0TCPS?usp=share_link,,GUL EDA,30433,a064,02:46:02
TestCase 417,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 418,notReady,LL,MAC,Local,NO,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
TestCase 419,notReady,LL,,Altay + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 420,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA,,,
TestCase 421,notReady,LL,Linux,Local,YES,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE,,,
